"Atari 2600",
"3DO",
"Nintendo 3DS",
"Dreamcast",
"Nintendo DS",
"Gameboy",
"Game boy advanced",
"Game Cube",
"Sega Genesis",
"Nintendo 64",
"NES",
"Neo Geo",
"PC",
"Play Station",
"Play Station 2",
"Playstation 3",
"Playstation 4",
"Play Station Portable",
"Playstation Vita",
"Sega Saturn",
"Sega CD",
"SNES",
"TurboGrafx-16",
"Wii",
"WiiU",
"WonderSwan",
"Xbox 360",
"Xbox",
"Xbox One"
